target,model,estimator,residual_def,rung,n_q,n_obs,sigma2_person,sigma2_set,sigma2_question,sigma2_resid,nu_mean,vpc_person,vpc_person_lo,vpc_person_hi,vpc_set,vpc_question,vpc_resid,Erho2,Erho2_lo,Erho2_hi,Phi,Phi_lo,Phi_hi,rhat_max,divergences,converged
openness,m0,gaussian,scale,L0,4,2011,0.3392479135646437,0.0013563552697163307,0.0005948699729968663,0.9367315159702418,,0.26500098949430806,0.21864252102980083,0.3129486488955334,0.0010586884643332794,0.00046530908458433537,0.7334750129567742,0.5896490999966707,0.5288094506184604,0.6457218377703311,0.5893010822713844,0.5281451334579893,0.6456390192945972,1.0029,0,True
openness,m0,gaussian,scale,L0,6,2011,0.3392479135646437,0.0013563552697163307,0.0005948699729968663,0.9367315159702418,,0.26500098949430806,0.21864252102980083,0.3129486488955334,0.0010586884643332794,0.00046530908458433537,0.7334750129567742,0.6827664358814786,0.6273419882241147,0.7321878988263566,0.6824548889508689,0.6267185294315629,0.732116907770812,1.0029,0,True
openness,m0,gaussian,scale,L0,17,2011,0.3392479135646437,0.0013563552697163307,0.0005948699729968663,0.9367315159702418,,0.26500098949430806,0.21864252102980083,0.3129486488955334,0.0010586884643332794,0.00046530908458433537,0.7334750129567742,0.8587789677021735,0.8266809267728732,0.885664938119229,0.8586043604801378,0.826298624921055,0.8856282754769196,1.0029,0,True
openness,m1,gaussian,scale,L0,4,2011,0.326956653028569,0.001392123151134496,0.0006060787690049798,0.9353913202459766,,0.25813217834514657,0.2130273450190081,0.3058231283048201,0.001097533624420111,0.0004786403733132932,0.7402916476571201,0.5810340233629411,0.5203148034696666,0.638584777652698,0.5806743504793904,0.5198698794903633,0.6379723807680445,1.0012,0,True
openness,m1,gaussian,scale,L0,6,2011,0.326956653028569,0.001392123151134496,0.0006060787690049798,0.9353913202459766,,0.25813217834514657,0.2130273450190081,0.3058231283048201,0.001097533624420111,0.0004786403733132932,0.7402916476571201,0.6750265988312516,0.6193450151619696,0.726053735010253,0.6747025117239491,0.6189246719237657,0.7255258450756153,1.0012,0,True
openness,m1,gaussian,scale,L0,17,2011,0.326956653028569,0.001392123151134496,0.0006060787690049798,0.9353913202459766,,0.25813217834514657,0.2130273450190081,0.3058231283048201,0.001097533624420111,0.0004786403733132932,0.7402916476571201,0.8544123846457786,0.8217461622654815,0.8824819014192348,0.8542284875229564,0.8214849021973037,0.8822065413549391,1.0012,0,True
openness,m1d,gaussian,scale,L0,4,2011,0.18905851138311147,0.0021691657610403564,0.0007729093068592526,0.9306936682482757,,0.1680898202229236,0.1256709870510893,0.21301587830926752,0.0019240251717379641,0.0006889081857329349,0.8292972464196054,0.44578795580418684,0.3654143740236802,0.5203998480020791,0.44521782385761743,0.3650538857507125,0.5198528063443006,1.0011,0,True
openness,m1d,gaussian,scale,L0,6,2011,0.18905851138311147,0.0021691657610403564,0.0007729093068592526,0.9306936682482757,,0.1680898202229236,0.1256709870510893,0.21301587830926752,0.0019240251717379641,0.0006889081857329349,0.8292972464196054,0.5461624279243265,0.46344654564118654,0.6194253444174397,0.5455908069737558,0.4630599124044814,0.6189085389740209,1.0011,0,True
openness,m1d,gaussian,scale,L0,17,2011,0.18905851138311147,0.0021691657610403564,0.0007729093068592526,0.9306936682482757,,0.1680898202229236,0.1256709870510893,0.21301587830926752,0.0019240251717379641,0.0006889081857329349,0.8292972464196054,0.7721948820854225,0.7099165375044073,0.8217960687374527,0.7717890096655379,0.7095962086736944,0.8214748710562717,1.0011,0,True
openness,m0_filt,gaussian,scale,L0,4,1920,0.3398526224941459,0.0016288466693980454,0.0006591774268414674,0.9567009025245216,,0.2611934998387089,0.21462384589310168,0.30983500907195166,0.0012473616252905398,0.0005068547277582411,0.7370522838082424,0.5849144949769298,0.5225504779182509,0.642557654951992,0.5845049226178552,0.5222399462568516,0.6423098249422419,1.0013,0,True
openness,m0_filt,gaussian,scale,L0,6,1920,0.3398526224941459,0.0016288466693980454,0.0006591774268414674,0.9567009025245216,,0.2611934998387089,0.21462384589310168,0.30983500907195166,0.0012473616252905398,0.0005068547277582411,0.7370522838082424,0.6785086530137634,0.6214549312004871,0.7294724341128824,0.6781406379246397,0.6211620908857945,0.7292594746564652,1.0013,0,True
openness,m0_filt,gaussian,scale,L0,17,1920,0.3398526224941459,0.0016288466693980454,0.0006591774268414674,0.9567009025245216,,0.2611934998387089,0.21462384589310168,0.30983500907195166,0.0012473616252905398,0.0005068547277582411,0.7370522838082424,0.8563718513926692,0.8230547162429914,0.8842596534113534,0.8561641277725541,0.8228733817929711,0.8841491912210554,1.0013,0,True
openness,m0_robust,t,scale,L0,4,2011,0.2299070670998913,0.0013436977186632743,0.0011196574111348152,0.2881033441513616,2.7547211258215634,0.44104367727081645,0.37912733698657725,0.5053444731635874,0.0025689137704183987,0.002159175439013265,0.5542282335197519,0.7592589070286686,0.7111223013604575,0.8041360445068941,0.7584161311871125,0.7095172225442264,0.8033986653142265,1.003,0,True
